MONTH,DAY_OF_MONTH,ORIGIN,DEST,DEP_DELAY
05,09,SEA,SJC,1.1428571428571428
05,10,SEA,ANC,2.1272727272727274
05,10,SEA,DEN,4.811320754716981
05,10,SEA,DFW,21.75862068965517
05,10,SEA,LAS,-1.9423076923076923
05,10,SEA,LAX,3.3684210526315788
05,10,SEA,ORD,-0.5641025641025641
05,10,SEA,PDX,-0.22727272727272727
05,10,SEA,PHX,-1.18
05,10,SEA,SFO,7.115942028985507
05,10,SEA,SJC,4.083333333333333
05,11,SEA,ANC,2.5789473684210527
05,11,SEA,DEN,4.814814814814815
05,11,SEA,DFW,1
05,11,SEA,LAS,4.150943396226415
05,11,SEA,LAX,12.731707317073171
05,11,SEA,ORD,-0.40476190476190477
05,11,SEA,PDX,1.6956521739130435
05,11,SEA,PHX,-0.8
05,11,SEA,SFO,21.716216216216218
05,11,SEA,SJC,6.4324324324324325
05,12,SEA,ANC,3.2037037037037037
05,12,SEA,DEN,8.581818181818182
05,12,SEA,DFW,7.59375
05,12,SEA,LAS,-0.8148148148148148
05,12,SEA,LAX,7.564705882352941
05,12,SEA,ORD,0.175
05,12,SEA,PDX,0.17391304347826086
05,12,SEA,PHX,0.74
05,12,SEA,SFO,3.2083333333333335
05,12,SEA,SJC,0.5945945945945946
05,13,SEA,ANC,4.339622641509434
05,13,SEA,DEN,0.3673469387755102
05,13,SEA,DFW,0.15625
05,13,SEA,LAS,0.019230769230769232
05,13,SEA,LAX,3.448717948717949
05,13,SEA,ORD,2.55
05,13,SEA,PDX,2.5
05,13,SEA,PHX,2.163265306122449
05,13,SEA,SFO,16.015151515151516
05,13,SEA,SJC,3.8285714285714287
05,14,SEA,ANC,0
05,14,SEA,DEN,-1.5
05,14,SEA,DFW,-0.5625
05,14,SEA,LAS,-0.7450980392156863
05,14,SEA,LAX,5.576923076923077
05,14,SEA,ORD,-0.358974358974359
05,14,SEA,PDX,-3.4
05,14,SEA,PHX,0.2653061224489796
05,14,SEA,SFO,20.650793650793652
05,14,SEA,SJC,6.4411764705882355
05,15,SEA,ANC,5.983606557377049
05,15,SEA,DEN,1.4814814814814814
05,15,SEA,DFW,-0.90625
05,15,SEA,LAS,1.509433962264151
05,15,SEA,LAX,11.258823529411766
05,15,SEA,ORD,6.825
05,15,SEA,PDX,3.5652173913043477
05,15,SEA,PHX,-0.19607843137254902
05,15,SEA,SFO,14.32876712328767
05,15,SEA,SJC,9.567567567567568
05,16,SEA,ANC,3.7796610169491527
05,16,SEA,DEN,6
05,16,SEA,DFW,16.0625
05,16,SEA,LAS,2.156862745098039
05,16,SEA,LAX,9.216216216216216
05,16,SEA,ORD,0.07317073170731707
05,16,SEA,PDX,9.545454545454545
05,16,SEA,PHX,2.9607843137254903
05,16,SEA,SFO,19.567164179104477
05,16,SEA,SJC,3.2285714285714286
05,17,SEA,ANC,5.966101694915254
05,17,SEA,DEN,1.962962962962963
05,17,SEA,DFW,-1.09375
05,17,SEA,LAS,12.576923076923077
05,17,SEA,LAX,16.22077922077922
