"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-04-30","6.93",",,W","0.00","T,,W,2400","0.0",",,W","0.0",",,W","51","H,,S","59",",,W","47",",,W","  200",",,W","  210",",,W","12.1",",,W","19.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-01","5.37",",,W","0.00","T,,W,2400","0.0",",,W","0.0",",,W","52","H,,S","62",",,W","48",",,W","  300",",,W","  330",",,W","10.1",",,W","13.0",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-02","5.14",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","55","H,,S","70",",,W","45",",,W","  360",",,W","  280",",,W","12.1",",,W","15.0",",,W","    1",",,W"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-03","7.16",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","61","H,,S","74",",,W","50",",,W","  220",",,W","  210",",,W","21.0",",,W","25.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-04","7.61",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W","56","H,,S","64",",,W","50",",,W","   30",",,W","  360",",,W","16.1",",,W","19.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-05","8.05",",,W","0.01",",,D,2400","0.0",",,D","0.0",",,D","57","H,,S","68",",,D","48",",,D","   20",",,W","   20",",,W","15.0",",,W","18.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-06","6.26",",,W","0.00",",,D,2400","0.0",",,D","0.0",",,D","62","H,,S","77",",,D","52",",,D","  220",",,W","  220",",,W","18.1",",,W","23.0",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-07","5.82",",,W","0.00",",,D,2400","0.0",",,D","0.0",",,D","58","H,,S","69",",,D","53",",,D","  280",",,W","  260",",,W","12.1",",,W","16.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-08","6.04",",,W","0.03",",,D,2400","0.0",",,D","0.0",",,D","62","H,,S","75",",,D","50",",,D","  220",",,W","  210",",,W","19.9",",,W","25.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-09","9.84",",,W","0.00","T,,D,2400","0.0",",,D","0.0",",,D","60","H,,S","67",",,D","52",",,D","  250",",,W","  230",",,W","18.1",",,W","25.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-10","7.83",",,W","0.04",",,D,2400","0.0",",,D","0.0",",,D","55","H,,S","62",",,D","50",",,D","  210",",,W","  210",",,W","14.1",",,W","19.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-11","4.92",",,W","0.00","T,,D,2400","0.0",",,D","0.0",",,D","54","H,,S","67",",,D","50",",,D","  260",",,W","  270",",,W","13.0",",,W","16.1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-12","7.61",",,W","0.00",",,D,2400","0.0",",,D","0.0",",,D","60","H,,S","77",",,D","49",",,D","   40",",,W","   30",",,W","16.1",",,W","21.9",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2018-05-13","4.70",",,W","0.00",",,D,2400","0.0",",,D","0.0",",,D","67","H,,S","85",",,D","52",",,D","   40",",,W","   40",",,W","13.0",",,W","16.1",",,W",,
